collection	operation	title	method	path	raw_parameters	body_kind	body_type	sdk_body_required	response	context	destructive	command	source
ad-account-endpoints	rest:apple-ads-platform-api:post:ad-accounts	Create Ad Accounts	POST	/v1/ad-accounts	none	JSON object	AdAccountCreate	no	200 AdAccountResponse	none	no	ad-accounts create	https://developer.apple.com/documentation/apple-ads-platform-api/post-ad-accounts
ad-account-endpoints	rest:apple-ads-platform-api:get:ad-accounts-{}	Get Ad Account by ID	GET	/v1/ad-accounts/{id}	path:id (string; required)	none	none	no	200 AdAccountResponse	ad-account	no	ad-accounts view	https://developer.apple.com/documentation/apple-ads-platform-api/get-ad-accounts-_id_
ad-account-endpoints	rest:apple-ads-platform-api:put:ad-accounts-{}	Update Ad Accounts	PUT	/v1/ad-accounts/{id}	path:id (string; required)	JSON object	AdAccountUpdate	no	200 AdAccountResponse	ad-account	no	ad-accounts update	https://developer.apple.com/documentation/apple-ads-platform-api/put-ad-accounts-_id_
ad-account-endpoints	rest:apple-ads-platform-api:get:advertiser-resources	Get Advertiser Resources	GET	/v1/advertiser-resources	query:resourceType (AdvertiserResourceType; required; allowed=CONTENT_PROVIDER,BUSINESS_BRAND)	none	none	no	200 AdvertiserResourceListResponse	none	no	advertiser-resources list	https://developer.apple.com/documentation/apple-ads-platform-api/get-advertiser-resources
adgroups-endpoints	rest:apple-ads-platform-api:post:adgroups	Create an Ad Group	POST	/v1/adgroups	none	JSON object	AdGroupCreate	no	200 AdGroupResponse	ad-account	no	ad-groups create	https://developer.apple.com/documentation/apple-ads-platform-api/post-adgroups
adgroups-endpoints	rest:apple-ads-platform-api:post:adgroups-query	Query Ad Groups	POST	/v1/adgroups/query	none	JSON object	QueryRequest	no	200 AdGroupQueryResponse	ad-account	no	ad-groups find	https://developer.apple.com/documentation/apple-ads-platform-api/post-adgroups-query
adgroups-endpoints	rest:apple-ads-platform-api:delete:adgroups-{}	Delete an Ad Group	DELETE	/v1/adgroups/{id}	path:id (string; required)	none	none	no	200 Response	ad-account	yes	ad-groups delete	https://developer.apple.com/documentation/apple-ads-platform-api/delete-adgroups-_id_
adgroups-endpoints	rest:apple-ads-platform-api:get:adgroups-{}	Get an Ad Group	GET	/v1/adgroups/{id}	path:id (string; required)	none	none	no	200 AdGroupResponse	ad-account	no	ad-groups view	https://developer.apple.com/documentation/apple-ads-platform-api/get-adgroups-_id_
adgroups-endpoints	rest:apple-ads-platform-api:put:adgroups-{}	Update an Ad Group	PUT	/v1/adgroups/{id}	path:id (string; required)	JSON object	AdGroupUpdate	no	200 AdGroupResponse	ad-account	no	ad-groups update	https://developer.apple.com/documentation/apple-ads-platform-api/put-adgroups-_id_
ads-endpoints	rest:apple-ads-platform-api:post:ads	Create an Ad	POST	/v1/ads	none	JSON object	AdCreate	no	200 AdResponse	ad-account	no	ads create	https://developer.apple.com/documentation/apple-ads-platform-api/post-ads
ads-endpoints	rest:apple-ads-platform-api:post:ads-query	Query Ads	POST	/v1/ads/query	none	JSON object	QueryRequest	no	200 AdQueryResponse	ad-account	no	ads find	https://developer.apple.com/documentation/apple-ads-platform-api/post-ads-query
ads-endpoints	rest:apple-ads-platform-api:delete:ads-{}	Delete an Ad	DELETE	/v1/ads/{id}	path:id (string; required)	none	none	no	200 Response	ad-account	yes	ads delete	https://developer.apple.com/documentation/apple-ads-platform-api/delete-ads-_id_
ads-endpoints	rest:apple-ads-platform-api:get:ads-{}	Get an Ad	GET	/v1/ads/{id}	path:id (string; required)	none	none	no	200 AdResponse	ad-account	no	ads view	https://developer.apple.com/documentation/apple-ads-platform-api/get-ads-_id_
ads-endpoints	rest:apple-ads-platform-api:put:ads-{}	Update an Ad	PUT	/v1/ads/{id}	path:id (string; required)	JSON object	AdUpdate	no	200 AdResponse	ad-account	no	ads update	https://developer.apple.com/documentation/apple-ads-platform-api/put-ads-_id_
app-eligibility-endpoints	rest:apple-ads-platform-api:post:eligibilities-apps-query	Check App Eligibility	POST	/v1/eligibilities/apps/query	none	JSON object	EligibilityQueryRequest	no	200 EligibilityQueryResponse	ad-account	no	apps eligibility find	https://developer.apple.com/documentation/apple-ads-platform-api/find-apps-eligibilities
app-eligibility-endpoints	rest:apple-ads-platform-api:post:rejection-reasons-apps-query	Query Rejection Reasons	POST	/v1/rejection-reasons/apps/query	none	JSON object	CreativeRejectionReasonQueryRequest	no	200 CreativeRejectionReasonQueryResponse	ad-account	no	rejection-reasons apps find	https://developer.apple.com/documentation/apple-ads-platform-api/find-rejection-reasons
app-eligibility-endpoints	rest:apple-ads-platform-api:get:rejection-reasons-apps-{}	Get Rejection Reasons	GET	/v1/rejection-reasons/apps/{rejectionReasonId}	path:rejectionReasonId (int64; required)	none	none	no	200 RejectionReasonResponse	ad-account	no	rejection-reasons apps view	https://developer.apple.com/documentation/apple-ads-platform-api/gets-rejection-reasons-by-id
apps-reports-endpoints	rest:apple-ads-platform-api:post:reports-apps-adgroups-query	Ad Groups Report	POST	/v1/reports/apps/adgroups/query	none	JSON object	AppsReportingRequest	yes	200 AppsAdGroupReportResponse	ad-account	no	reports apps ad-groups	https://developer.apple.com/documentation/apple-ads-platform-api/get-app-ad-group-reports
apps-reports-endpoints	rest:apple-ads-platform-api:post:reports-apps-ads-query	Ads Report	POST	/v1/reports/apps/ads/query	none	JSON object	AppsReportingRequest	yes	200 AppsAdReportResponse	ad-account	no	reports apps ads	https://developer.apple.com/documentation/apple-ads-platform-api/get-app-ad-reports
apps-reports-endpoints	rest:apple-ads-platform-api:post:reports-apps-campaigns-query	Campaigns Report	POST	/v1/reports/apps/campaigns/query	none	JSON object	AppsReportingRequest	yes	200 AppsCampaignReportResponse	ad-account	no	reports apps campaigns	https://developer.apple.com/documentation/apple-ads-platform-api/get-app-campaign-reports
